bill_id,people_id,position
1890233,5850,2
1890233,5875,7
1890233,5904,18
1890233,5921,10
1890233,5929,23
1890233,5933,11
1890233,5949,12
1890233,5962,26
1890233,6014,21
1890233,6015,22
1890233,6019,25
1890233,6029,16
1890233,6032,17
1890233,11013,15
1890233,11599,24
1890233,15077,5
1890233,16267,3
1890233,16834,4
1890233,17365,1
1890233,19686,9
1890233,19730,14
1890233,20015,13
1890233,21679,8
1890233,24827,27
1890233,25224,6
1890233,26344,19
1890233,26345,20
1890234,18680,3
1890234,23179,1
1890234,25519,2
1890235,17576,1
1890236,21335,1
1890237,5997,1
1890238,22376,1
1890239,5920,1
1890240,24086,1
1890241,6029,1
1890242,17631,1
1890243,20248,1
1890244,20173,1
1890245,19959,1
1890246,20173,1
1890247,11013,1
1890248,17365,1
1890248,20015,2
1890249,18680,1
1890250,24089,1
1890251,22376,1
1890252,18029,1
1890253,17631,1
1890254,24078,1
1890255,5903,1
1890255,22896,2
1890256,17631,1
1890257,17365,1
1890257,20015,2
1890258,22955,1
1890259,5903,1
1890260,20230,1
1890261,22437,1
1890262,5949,1
1890263,24078,1
1890264,11598,1
1890265,14046,1
1890266,5949,1
1890267,20248,1
1890268,19319,1
1890269,17631,1
1890270,19319,1
1890270,22376,2
1890270,23179,4
1890270,24084,5
1890270,24086,3
1890271,11598,1
1890272,24089,1
1890273,16847,1
1890274,5971,1
1890275,14568,1
1890276,5903,1
1890277,24089,1
1890278,22376,1
1890278,23179,2
1890279,24075,1
1890279,25225,2
1890280,16847,1
1890281,24079,1
1890282,5971,1
1890283,22433,1
1890284,5912,2
1890284,20246,1
1890285,18674,1
1890286,17576,1
1890287,22376,1
1890288,15409,1
1890289,24077,1
1890290,19319,1
1890291,25225,1
1890292,21335,1
1890293,24089,1
1890294,24086,1
1890295,5903,1
1890296,22431,1
1890297,6029,1
1890297,16834,2
1890298,24084,1
1890299,24077,1
1890300,18029,1
1890301,20235,1
1890302,24079,1
1890303,18029,1
1890304,20243,1
1890304,24076,2
1890305,11013,1
1890306,23342,1
1890307,22955,1
1890308,20248,1
1890309,19959,1
1890310,20228,1
1890311,19686,1
1890312,21335,1
1890313,20232,1
1890314,15409,1
1890315,20232,1
1890316,15409,1
1890317,14990,1
1890318,20173,1
1890319,19319,1
1890320,18029,1
1890321,5971,1
1890322,6032,1
1890323,11599,1
1890324,20235,1
1890325,17365,1
1890326,14046,1
1890327,5949,1
1890328,6032,1
1890329,24089,1
1890330,5875,4
1890330,5906,7
1890330,5929,8
1890330,5933,11
1890330,5962,10
1890330,15077,3
1890330,16267,2
1890330,17365,6
1890330,19686,5
1890330,19730,1
1890330,20015,9
1890331,5903,1
1890331,21683,2
1890332,18674,1
1890333,17365,1
1890334,24089,1
1890335,14046,2
1890335,22955,1
1890336,14046,1
1890337,21336,1
1890338,20173,1
1890339,21335,1
1890341,11599,1
1890342,20230,1
1890343,14783,1
1890344,21336,1
1890345,5933,1
1890346,5971,1
1890347,14784,3
1890347,18680,7
1890347,23179,1
1890347,23180,2
1890347,24084,4
1890347,25230,5
1890347,25519,6
1890348,21683,1
1890349,20173,1
1890349,22896,3
1890349,25361,2
1890350,18029,1
1890351,21636,1
1890352,24080,1
1890353,18029,1
1890354,5920,3
1890354,21683,1
1890354,24088,2
1890354,24089,5
1890354,25225,4
1890355,24089,1
1890356,23145,1
1890357,15686,1
1890358,5949,1
1890359,22896,1
1890360,14783,1
1890361,22896,1
1890362,19686,1
1890362,21679,2
1890363,15686,1
1890364,20228,1
1890365,24075,1
1890366,6032,1
1890367,18674,1
1890368,14783,1
1890369,22376,1
1890370,20230,1
1890371,17631,1
1890372,22955,1
1890373,14568,1
1890374,6029,1
1890375,22376,1
1890376,14568,1
1890377,22955,1
1890378,17365,1
1890379,23120,1
1890380,20241,1
1890381,14046,1
1890382,22955,1
1890383,17365,1
1890384,15409,1
1890385,14990,1
1890386,20235,1
1890387,17631,1
1890388,15409,1
1890389,11013,1
1890390,15409,1
1890391,5903,10
1890391,14783,3
1890391,15409,38
1890391,15686,7
1890391,16842,28
1890391,16851,37
1890391,17984,27
1890391,18680,36
1890391,19319,1
1890391,20237,11
1890391,21636,8
1890391,22376,39
1890391,22435,34
1890391,22896,35
1890391,23190,31
1890391,23384,5
1890391,24077,4
1890391,24079,6
1890391,24083,9
1890391,24084,12
1890391,24085,13
1890391,24086,15
1890391,24088,17
1890391,25227,26
1890391,25229,32
1890391,25230,29
1890391,25231,14
1890391,25236,18
1890391,25237,40
1890391,25362,19
1890391,25434,2
1890391,25511,16
1890391,25519,33
1890391,26333,20
1890391,26334,21
1890391,26335,22
1890391,26336,23
1890391,26337,24
1890391,26338,25
1890391,26340,30
1890391,26343,41
