bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1632414,1309624,2023-04-25,House,"Amended RV#463",146,0,1,3,150
1632418,1306974,2023-04-20,Senate,"Three day rule suspended",31,0,0,0,31
1632418,1306975,2023-04-20,Senate,"Read 3rd time",31,0,0,0,31
1632418,1323476,2023-05-11,House,"Read 3rd time RV#1490",139,4,2,4,149
1632419,1310120,2023-04-25,House,"Amended RV#501",88,60,1,1,150
1632419,1311072,2023-04-26,House,"Read 3rd time RV#552",94,51,2,3,150
1632419,1327882,2023-05-17,Senate,"Rules suspended-Regular order of business",20,11,0,0,31
1632419,1327883,2023-05-17,Senate,"Amendment fails of adoption",12,19,0,0,31
1632419,1327884,2023-05-17,Senate,"Record vote",20,11,0,0,31
1632419,1329438,2023-05-18,Senate,"Rules suspended-Regular order of business",20,11,0,0,31
1632419,1329439,2023-05-18,Senate,"Read 3rd time",20,11,0,0,31
1632424,1315242,2023-05-01,House,"Adopted RV#764",121,14,2,13,150
1632426,1311055,2023-04-26,House,"Read 3rd time RV#534",138,7,1,4,150
1632426,1334221,2023-05-23,Senate,"Three day rule suspended",0,1,0,0,1
1632426,1334222,2023-05-23,Senate,"Read 3rd time",0,1,0,0,1
1632428,1301670,2023-04-14,House,"Read 3rd time RV#207",144,0,1,5,150
1632428,1334031,2023-05-23,Senate,"Three day rule suspended",31,0,0,0,31
1632428,1334032,2023-05-23,Senate,"Read 3rd time",31,0,0,0,31
1632431,1306126,2023-04-20,House,"Read 3rd time RV#365",143,2,1,4,150
1632432,1319591,2023-05-06,House,"Read 3rd time RV#1205",138,0,1,11,150
1632443,1297517,2023-04-06,Senate,"Three day rule suspended",31,0,0,0,31
1632443,1297518,2023-04-06,Senate,"Read 3rd time",31,0,0,0,31
1632443,1329068,2023-05-19,House,"Read 3rd time RV#1845",143,0,2,4,149
1632444,1320894,2023-05-09,House,"Read 3rd time RV#1352",123,22,2,2,149
