bill_id,people_id,position
1632401,15077,1
1632402,21679,1
1632403,11598,1
1632404,6032,1
1632405,17631,1
1632406,21679,1
1632407,14990,3
1632407,18576,4
1632407,20246,2
1632407,20248,1
1632408,18680,1
1632409,22376,1
1632410,11599,3
1632410,16834,2
1632410,20805,1
1632411,15352,1
1632412,6032,1
1632413,20230,1
1632413,21335,2
1632414,5971,1
1632415,15409,1
1632416,14785,1
1632417,20805,1
1632418,6032,1
1632418,14238,3
1632418,16841,4
1632418,20246,5
1632418,24093,2
1632419,5903,12
1632419,5989,25
1632419,6029,29
1632419,14783,6
1632419,15356,21
1632419,15426,5
1632419,16847,23
1632419,16851,26
1632419,17984,4
1632419,18680,1
1632419,18682,27
1632419,19319,8
1632419,20241,2
1632419,21776,9
1632419,22431,3
1632419,22436,20
1632419,22955,14
1632419,23179,18
1632419,23190,22
1632419,23342,24
1632419,24077,7
1632419,24081,10
1632419,24083,11
1632419,24084,13
1632419,24085,15
1632419,24086,16
1632419,24088,17
1632419,24090,19
1632419,24827,28
1632420,18284,1
1632421,5852,2
1632421,5903,16
1632421,5971,43
1632421,5979,49
1632421,5989,54
1632421,11346,33
1632421,11352,42
1632421,14047,30
1632421,14783,3
1632421,14784,5
1632421,15356,44
1632421,15409,56
1632421,15426,28
1632421,15686,12
1632421,16346,35
1632421,16526,29
1632421,16835,8
1632421,16841,36
1632421,16842,41
1632421,16847,46
1632421,16848,58
1632421,16851,55
1632421,17984,38
1632421,18001,23
1632421,18661,47
1632421,18673,22
1632421,18679,50
1632421,18680,51
1632421,18682,60
1632421,19319,1
1632421,20016,6
1632421,20173,40
1632421,20228,4
1632421,20236,17
1632421,20237,19
1632421,20241,37
1632421,21636,14
1632421,21776,9
1632421,22376,59
1632421,22431,24
1632421,22432,26
1632421,22435,48
1632421,22955,20
1632421,23106,34
1632421,23179,31
1632421,23180,57
1632421,23190,45
1632421,23342,52
1632421,24077,7
1632421,24078,10
1632421,24079,11
1632421,24081,13
1632421,24083,15
1632421,24084,18
1632421,24085,21
1632421,24086,25
1632421,24088,27
1632421,24090,32
1632421,24091,39
1632421,24092,53
1632422,6032,1
1632423,18661,1
1632424,5874,1
1632424,5877,2
1632424,5903,4
1632424,5922,3
1632424,5971,5
1632424,21636,6
1632424,21683,7
1632425,15631,1
1632425,22432,2
1632426,16841,1
1632426,18682,2
1632426,20805,3
1632427,16834,1
1632428,5989,1
1632428,6014,6
1632428,15351,3
1632428,18661,2
1632428,21679,5
1632428,23184,4
1632429,5848,3
1632429,5920,1
1632429,15425,2
1632430,20246,1
1632431,22376,1
1632432,16841,1
1632432,24082,2
1632433,14568,1
1632434,22896,1
1632435,21636,1
1632436,16846,1
1632437,17983,1
1632438,6032,1
1632439,5850,1
1632440,20173,1
1632441,6032,1
1632442,5904,1
1632443,6032,1
1632443,11599,3
1632443,17365,2
1632443,20245,4
1632444,16847,1
1632445,17631,1
1632446,5971,1
1632447,17983,1
1632448,5874,1
1632448,5875,6
1632448,15409,2
1632448,16840,4
1632448,19686,5
1632448,22433,3
1632449,14046,1
1632449,22437,2
1632450,15352,1
1632450,24082,2
1632451,20230,1
1632452,22376,1
1632453,5850,1
1632454,20805,1
1632455,14047,9
1632455,15686,3
1632455,16847,14
1632455,17984,12
1632455,18673,7
1632455,18680,15
1632455,19319,2
1632455,20173,13
1632455,20237,4
1632455,20241,11
1632455,22376,1
1632455,22955,5
1632455,23179,10
1632455,23342,16
1632455,24085,6
1632455,24088,8
1632456,14236,1
1632457,20240,1
1632458,6029,1
1632458,20243,2
1632459,5875,7
1632459,5989,2
1632459,14990,3
1632459,16835,1
1632459,16848,4
1632459,17631,5
1632459,23179,6
1632460,5971,1
1632460,16834,3
1632460,19686,2
1632461,20230,1
1632462,18673,3
1632462,19319,2
1632462,22376,1
1632463,16346,2
1632463,20173,4
1632463,20237,5
1632463,22376,8
1632463,22431,3
1632463,23179,7
1632463,23180,1
1632463,24079,6
1632464,16841,1
1632464,18675,2
1632464,20015,3
1632465,5879,4
1632465,14046,1
1632465,15352,5
1632465,23145,3
1632465,24082,2
1632466,14784,2
1632466,17631,1
1632466,18675,3
1632466,22136,5
1632466,22437,4
1632467,15409,1
1632467,22376,2
1632468,14783,1
1632469,17983,1
1632469,24087,2
1632470,20235,1
1632471,14046,1
1632472,16841,1
1632472,20246,2
1632473,14238,6
1632473,16346,3
1632473,16526,1
1632473,21683,2
1632473,23179,5
1632473,24094,4
1632473,24827,7
1632474,17631,1
1632475,6032,2
1632475,22432,1
1632476,20240,1
1632476,22437,2
1632477,14990,4
1632477,17631,5
1632477,20230,3
1632477,20248,1
1632477,24087,2
1632478,18680,3
1632478,19319,2
1632478,22376,4
1632478,23179,1
1632479,5934,13
1632479,14237,3
1632479,15351,5
1632479,15409,23
1632479,15425,12
1632479,16346,15
1632479,16842,18
1632479,18669,6
1632479,18672,9
1632479,18673,2
1632479,18679,20
1632479,18680,21
1632479,18682,26
1632479,19319,8
1632479,20173,17
1632479,21776,4
1632479,22376,25
1632479,22436,19
1632479,22896,1
1632479,23179,14
1632479,23180,24
1632479,24077,7
1632479,24083,10
1632479,24085,11
1632479,24091,16
1632479,24092,22
1632480,5949,1
1632480,11599,4
1632480,16834,2
1632480,21679,3
1632481,14990,1
1632482,5875,3
1632482,5929,5
1632482,11015,7
1632482,14238,8
1632482,16267,2
1632482,17365,4
1632482,19730,6
1632482,20015,1
1632483,18673,2
1632483,20173,1
1632484,15409,1
1632485,5884,2
1632485,15631,1
1632486,5931,3
1632486,11013,1
1632486,19686,2
1632487,16346,7
1632487,18673,6
1632487,18679,8
1632487,18680,9
1632487,19319,2
1632487,20173,1
1632487,22955,4
1632487,24077,3
1632487,24085,5
1632487,24092,10
1632488,5852,3
1632488,5971,2
1632488,20237,1
1632488,21683,4
1632488,22434,5
1632488,22896,6
1632489,5949,3
1632489,14568,1
1632489,21683,2
1632490,5875,2
1632490,5933,3
1632490,15077,1
1632490,19730,5
1632490,20015,4
1632491,20246,1
1632492,20805,1
1632493,6032,1
1632494,5962,2
1632494,21679,1
1632495,20245,1
1632496,17631,1
1632497,16834,2
1632497,20805,1
1632498,15631,5
1632498,20230,1
1632498,20232,3
1632498,23120,4
1632498,23184,2
1632499,20235,1
1632500,20240,1
1632501,16847,1
1632502,5971,1
1632503,5920,1
1632503,18576,2
1632503,20173,3
1632503,20244,4
1632504,14046,1
1632505,22376,1
1632506,16346,5
1632506,16841,1
1632506,20228,3
1632506,22436,6
1632506,22896,2
1632506,24077,4
1632507,20235,1
1632508,17984,1
1632509,14238,1
1632510,5954,1
1632511,20226,1
1632511,22431,3
1632511,22896,2
1632512,21679,1
1632513,14046,1
1632513,24090,2
1632514,6029,2
1632514,6032,1
1632515,20230,1
1632516,5875,7
1632516,5962,9
1632516,16267,6
1632516,16847,4
1632516,17365,8
1632516,18576,5
1632516,20234,3
1632516,22432,1
1632516,24075,2
1632517,17631,1
1632518,18669,2
1632518,20226,1
1632519,22434,1
1632520,11013,1
1632520,18675,2
1632521,14568,1
1632522,5850,2
1632522,5906,5
1632522,5933,7
1632522,5949,8
1632522,6019,1
1632522,6029,9
1632522,6032,10
1632522,16346,11
1632522,16834,3
1632522,17576,12
1632522,20805,6
1632522,21679,4
1632523,21679,1
1632524,5851,4
1632524,5884,2
1632524,5899,3
1632524,5954,1
1632524,19319,5
1632524,20232,7
1632524,20234,9
1632524,20243,13
1632524,21683,11
1632524,22437,10
1632524,23184,12
1632524,24076,6
1632524,24082,8
1632525,5949,10
1632525,6014,9
1632525,16834,7
1632525,16845,2
1632525,17631,1
1632525,19686,6
1632525,21679,8
1632525,21683,5
1632525,23106,4
1632525,24082,3
1632526,20230,1
1632526,24080,2
1632527,20245,1
1632528,5852,2
1632528,6029,5
1632528,11020,4
1632528,20237,1
1632528,21683,3
1632529,20230,1
1632530,21679,1
1632531,5851,5
1632531,5949,1
1632531,6032,4
1632531,16834,2
1632531,21679,3
1632532,15352,1
1632533,5850,2
1632533,15077,1
1632533,21679,3
1632534,20805,1
1632535,5850,2
1632535,11599,5
1632535,16834,3
1632535,20805,1
1632535,21679,4
1632536,15409,1
1632536,22376,2
1632537,5971,1
1632538,20230,1
1632538,23184,3
1632538,24080,2
1632539,15077,1
1632540,21679,1
1632541,6032,1
1632541,21679,2
1632542,6029,7
1632542,11599,6
1632542,15352,3
1632542,15426,2
1632542,17983,1
1632542,22437,5
1632542,24087,4
1632543,5920,8
1632543,5962,5
1632543,6029,7
1632543,11013,6
1632543,19686,2
1632543,20015,4
1632543,21679,1
1632543,24093,3
1632544,17631,1
1632545,6032,1
1632546,20240,1
1632547,21679,1
1632548,20240,1
1632549,5851,5
1632549,5954,2
1632549,11598,3
1632549,19319,4
1632549,20240,1
1632549,24082,6
1632550,17631,1
1632551,5921,6
1632551,14785,3
1632551,20230,1
1632551,20245,2
1632551,22437,5
1632551,24082,4
1632552,6032,1
1632553,6029,4
1632553,6032,3
1632553,18680,1
1632553,23179,2
1632554,15409,1
1632554,16346,7
1632554,18679,11
1632554,18682,14
1632554,19319,3
1632554,20173,8
1632554,22376,13
1632554,22436,9
1632554,22896,10
1632554,22955,4
1632554,23179,6
1632554,24077,2
1632554,24085,5
1632554,24092,12
1632555,14046,1
1632556,14785,1
1632557,5949,1
1632557,20805,2
1632558,14990,1
1632559,14047,4
1632559,14238,7
1632559,20239,1
1632559,21335,2
1632559,21776,5
1632559,22436,3
1632559,24082,6
1632560,14046,1
1632561,6032,2
1632561,21776,1
1632562,5879,4
1632562,14046,1
1632562,15352,5
1632562,23145,3
1632562,24082,2
1632563,21336,1
1632564,17631,1
1632565,16841,1
1632566,20246,1
1632567,6029,3
1632567,16834,2
1632567,21679,1
1632568,6014,2
1632568,20805,1
1632568,24093,3
1632569,11599,1
1632570,22434,1
1632571,6032,10
1632571,11352,7
1632571,14785,3
1632571,15409,8
1632571,20241,1
1632571,20805,9
1632571,21776,2
1632571,23179,4
1632571,23184,6
1632571,24081,5
1632572,6032,1
1632572,14047,2
1632573,6030,3
1632573,6032,4
1632573,16847,1
1632573,24075,2
1632574,16834,1
1632574,20805,2
1632575,15352,1
1632576,11598,2
1632576,14046,1
1632577,14238,1
1632578,11013,1
1632578,21679,2
1632579,20245,1
1632580,14568,1
1632580,17984,2
1632580,19319,3
1632581,5904,1
1632581,20805,2
1632582,5852,3
1632582,5971,11
1632582,15356,12
1632582,15409,17
1632582,16847,14
1632582,18673,8
1632582,18680,16
1632582,19319,6
1632582,20016,4
1632582,22376,1
1632582,22435,2
1632582,22896,15
1632582,22955,7
1632582,23179,10
1632582,23190,13
1632582,24077,5
1632582,24086,9
1632583,11013,2
1632583,16848,1
1632584,22376,1
1632585,16835,1
1632586,6029,1
1632586,21679,2
1632587,6029,2
1632587,11598,4
1632587,11599,1
1632587,17574,3
1632587,24089,5
1632588,5921,2
1632588,5933,3
1632588,14238,6
1632588,15077,1
1632588,18673,7
1632588,19730,5
1632588,20015,4
1632589,17631,1
1632590,17983,1
1632591,14568,1
1632592,5949,1
1632592,21679,2
1632593,11598,1
1632594,6029,3
1632594,16834,2
1632594,20173,1
1632595,18678,1
1632596,17983,1
1632597,16841,1
1632597,23180,2
1632598,6032,1
1632599,5906,8
1632599,6014,10
1632599,6029,12
1632599,11349,2
1632599,16834,9
1632599,18680,1
1632599,19730,11
1632599,22433,3
1632599,23179,6
1632599,23190,7
1632599,24077,4
1632599,24086,5
1632600,16842,8
1632600,18680,1
1632600,19319,3
1632600,22955,4
1632600,23179,7
1632600,23190,9
1632600,24077,2
1632600,24085,5
1632600,24086,6
1632601,14046,1
1632602,5874,1
1632603,15409,1
1632603,18673,6
1632603,18679,11
1632603,18682,14
1632603,19319,3
1632603,20173,8
1632603,22376,13
1632603,22436,9
1632603,22896,10
1632603,22955,4
1632603,23179,7
1632603,24077,2
1632603,24085,5
1632603,24092,12
1632604,20240,1
1632605,5944,22
1632605,5979,29
1632605,11346,21
1632605,14047,20
1632605,14236,7
1632605,14783,3
1632605,15356,1
1632605,15409,34
1632605,15425,18
1632605,15426,19
1632605,15686,10
1632605,16847,26
1632605,16848,36
1632605,16851,33
1632605,17631,4
1632605,18001,16
1632605,18674,15
1632605,18680,30
1632605,18682,38
1632605,19319,6
1632605,20226,2
1632605,20241,23
1632605,20246,31
1632605,21636,11
1632605,22376,37
1632605,22434,27
1632605,22435,28
1632605,22436,24
1632605,22955,13
1632605,23180,35
1632605,23190,25
1632605,23384,8
1632605,24077,5
1632605,24079,9
1632605,24084,12
1632605,24085,14
1632605,24086,17
1632605,24092,32
1632606,20234,2
1632606,21336,1
1632606,22437,5
1632606,23184,3
1632606,24082,4
1632607,5850,2
1632607,5904,3
1632607,5949,5
1632607,20805,4
1632607,21679,1
1632608,15077,1
1632608,21679,2
1632609,14568,5
1632609,17631,1
1632609,20229,4
1632609,24087,3
1632609,24089,2
1632610,21336,1
1632611,5903,2
1632611,18675,3
1632611,20236,5
1632611,21636,4
1632611,21683,6
1632611,22436,1
1632612,14783,1
1632613,18284,1
1632614,14568,1
1632615,6029,2
1632615,11599,1
1632615,17574,3
1632616,6014,3
1632616,6019,1
1632616,16834,2
1632617,5877,3
1632617,11346,2
1632617,11352,20
1632617,15409,24
1632617,16841,19
1632617,18675,15
1632617,18679,22
1632617,18680,23
1632617,18682,26
1632617,20016,5
1632617,20236,11
1632617,20237,4
1632617,21636,9
1632617,21683,18
1632617,22376,25
1632617,22431,13
1632617,22436,1
1632617,22896,21
1632617,23106,17
1632617,23384,7
1632617,24077,6
1632617,24081,8
1632617,24083,10
1632617,24085,12
1632617,24088,14
1632617,24090,16
1632618,18673,1
1632619,5912,4
1632619,5997,6
1632619,11598,3
1632619,14046,2
1632619,16846,5
1632619,22433,1
1632620,15409,1
1632620,18680,3
1632620,22896,2
1632621,19730,2
1632621,20245,1
1632622,20240,1
1632623,11599,1
1632624,6032,1
1632625,5979,4
1632625,15409,7
1632625,16851,6
1632625,19319,2
1632625,22434,1
1632625,22896,5
1632625,23190,3
1632626,20246,1
1632627,19319,2
1632627,20173,4
1632627,22376,1
1632627,24085,3
1632628,16846,1
1632629,5875,2
1632629,6032,1
1632629,16840,4
1632629,18675,5
1632629,20241,3
1632629,21776,6
1632630,11599,1
1632631,14238,1
1632632,18284,1
1632632,20173,2
1632632,20236,3
1632632,22433,4
1632632,22437,6
1632632,23120,5
1632633,5875,9
1632633,14785,3
1632633,16267,8
1632633,16346,6
1632633,18680,1
1632633,20245,2
1632633,23179,5
1632633,24078,4
1632633,24092,7
1632634,17631,1
1632635,6032,2
1632635,15352,1
1632636,16267,2
1632636,16526,1
1632637,20235,1
1632638,5971,1
1632638,21336,2
1632639,5949,1
1632639,20805,2
1632640,15352,1
1632641,17631,1
1632642,22896,1
1632643,5921,2
1632643,21679,1
1632644,6032,1
1632645,16834,2
1632645,20805,1
1632646,20230,1
1632647,16346,7
1632647,16842,9
1632647,18673,6
1632647,18679,10
1632647,19319,4
1632647,20173,8
1632647,22376,13
1632647,22431,1
1632647,23179,2
1632647,23180,12
1632647,24077,3
1632647,24085,5
1632647,24092,11
1632648,16846,1
1632649,17631,1
1632650,5954,10
1632650,6014,4
1632650,6029,1
1632650,6032,6
1632650,11346,11
1632650,11599,5
1632650,14990,8
1632650,16834,2
1632650,19319,9
1632650,20235,12
1632650,21679,3
1632650,22431,7
1632650,23184,13
1632651,5850,2
1632651,5904,3
1632651,5949,4
1632651,21679,1
1632652,20235,1
1632653,5874,1
1632653,21683,2
1632653,24827,3
1632654,11598,1
1632655,17983,1
1632655,24087,2
1632656,21679,1
1632657,5850,1
1632657,5904,4
1632657,5949,5
1632657,6029,7
1632657,6030,8
1632657,11599,6
1632657,16834,2
1632657,21679,3
1632658,22376,1
1632659,18669,1
1632660,18680,2
1632660,21335,1
1632660,24082,3
1632661,5971,1
1632662,15409,1
1632662,18679,6
1632662,19319,3
1632662,20173,5
1632662,22376,8
1632662,24077,2
1632662,24085,4
1632662,24092,7
1632663,20240,1
1632664,5921,2
1632664,16841,1
1632665,6032,1
1632666,16847,1
1632667,20805,1
1632668,14786,2
1632668,17631,1
1632668,21683,3
1632668,22437,4
1632669,22376,1
1632670,15409,1
1632671,16847,1
1632671,21776,2
1632672,6032,1
1632673,22431,1
1632674,15409,1
1632675,6032,1
1632676,20226,1
1632677,6032,1
1632678,6029,2
1632678,6032,1
1632678,18673,3
1632679,5852,6
1632679,5979,3
1632679,5989,40
1632679,14047,26
1632679,14784,8
1632679,15409,41
1632679,16346,29
1632679,16526,25
1632679,16835,9
1632679,16836,10
1632679,16841,30
1632679,16842,34
1632679,16848,43
1632679,17984,32
1632679,18001,20
1632679,18661,35
1632679,18672,4
1632679,18673,19
1632679,18679,36
1632679,18680,37
1632679,18682,45
1632679,19319,1
1632679,20173,33
1632679,20228,7
1632679,20237,17
1632679,20241,31
1632679,21636,15
1632679,21776,11
1632679,22376,44
1632679,22431,21
1632679,22432,23
1632679,22435,2
1632679,22896,5
1632679,23179,27
1632679,23180,42
1632679,23342,38
1632679,23384,12
1632679,24079,13
1632679,24081,14
1632679,24083,16
1632679,24085,18
1632679,24086,22
1632679,24088,24
1632679,24090,28
1632679,24092,39
1632680,15631,1
1632681,6032,1
1632682,22431,1
1632682,22437,3
1632682,23179,2
1632682,24827,4
1632683,22436,2
1632683,22896,1
1632684,20235,1
1632685,20235,1
1632686,20246,1
1632687,15409,1
1632688,20246,1
1632689,5949,1
1632689,6029,3
1632689,21679,2
1632690,17631,1
1632691,20235,1
1632692,5920,5
1632692,14990,1
1632692,15352,4
1632692,15408,2
1632692,15631,7
1632692,18284,6
1632692,21776,3
1632693,5848,2
1632693,16848,4
1632693,20246,3
1632693,20248,1
1632694,17631,1
1632695,21335,1
1632696,5921,8
1632696,16841,1
1632696,20230,4
1632696,20245,2
1632696,21683,6
1632696,22432,3
1632696,22433,5
1632696,22436,7
1632697,15631,1
1632698,6029,1
1632699,5922,2
1632699,20239,1
1632700,22896,1
1632700,24085,3
1632700,24091,2
1632701,15631,2
1632701,22433,1
1632702,14046,1
1632703,20805,1
1632704,5949,1
1632704,21679,2
1632705,6032,1
1632706,14568,1
1632707,17983,1
1632708,22896,1
1632708,23179,3
1632708,24091,2
1632709,5852,7
1632709,5862,16
1632709,5874,21
1632709,5877,23
1632709,5903,32
1632709,5934,46
1632709,5955,56
1632709,5979,70
