bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1934188,3071435,text,20441,text/html,Introduced,https://legiscan.com/TX/text/HB1/id/3071435,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00001I.htm
1977073,3132701,text,1111143,text/html,Introduced,https://legiscan.com/TX/text/HB2/id/3132701,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00002I.htm
1976702,3132356,text,267284,text/html,Introduced,https://legiscan.com/TX/text/HB3/id/3132356,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00003I.htm
1976778,3132425,text,241596,text/html,Introduced,https://legiscan.com/TX/text/HB4/id/3132425,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00004I.htm
1979910,3139330,text,339072,text/html,Introduced,https://legiscan.com/TX/text/HB5/id/3139330,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00005I.htm
1976714,3132367,text,105113,text/html,Introduced,https://legiscan.com/TX/text/HB6/id/3132367,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00006I.htm
2007598,3175318,text,644352,text/html,Introduced,https://legiscan.com/TX/text/HB7/id/3175318,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00007I.htm
1981630,3138758,text,13702,text/html,Introduced,https://legiscan.com/TX/text/HB8/id/3138758,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00008I.htm
1981485,3138621,text,65461,text/html,Introduced,https://legiscan.com/TX/text/HB9/id/3138621,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00009I.htm
1987679,3146640,text,101071,text/html,Introduced,https://legiscan.com/TX/text/HB10/id/3146640,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00010I.htm
1987816,3146766,text,21007,text/html,Introduced,https://legiscan.com/TX/text/HB11/id/3146766,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00011I.htm
1993274,3156066,text,68134,text/html,Introduced,https://legiscan.com/TX/text/HB12/id/3156066,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00012I.htm
1993737,3156708,text,43976,text/html,Introduced,https://legiscan.com/TX/text/HB13/id/3156708,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00013I.htm
1993520,3156517,text,79116,text/html,Introduced,https://legiscan.com/TX/text/HB14/id/3156517,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00014I.htm
1987634,3146598,text,101360,text/html,Introduced,https://legiscan.com/TX/text/HB15/id/3146598,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00015I.htm
1994913,3158956,text,147125,text/html,Introduced,https://legiscan.com/TX/text/HB16/id/3158956,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00016I.htm
2005691,3172595,text,42595,text/html,Introduced,https://legiscan.com/TX/text/HB17/id/3172595,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00017I.htm
1995428,3159589,text,140795,text/html,Introduced,https://legiscan.com/TX/text/HB18/id/3159589,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00018I.htm
1898804,3035709,text,27993,text/html,Introduced,https://legiscan.com/TX/text/HB20/id/3035709,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00020I.htm
1915953,3053018,text,142420,text/html,Introduced,https://legiscan.com/TX/text/HB21/id/3053018,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00021I.htm
1982436,3139966,text,9644,text/html,Introduced,https://legiscan.com/TX/text/HB22/id/3139966,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00022I.htm
1987728,3146683,text,25749,text/html,Introduced,https://legiscan.com/TX/text/HB23/id/3146683,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00023I.htm
1991281,3152712,text,34696,text/html,Introduced,https://legiscan.com/TX/text/HB24/id/3152712,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00024I.htm
1989115,3148582,text,85630,text/html,Introduced,https://legiscan.com/TX/text/HB25/id/3148582,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00025I.htm
1992809,3155201,text,14933,text/html,Introduced,https://legiscan.com/TX/text/HB26/id/3155201,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00026I.htm
1987651,3146612,text,31568,text/html,Introduced,https://legiscan.com/TX/text/HB27/id/3146612,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00027I.htm
2007143,3174821,text,126562,text/html,Introduced,https://legiscan.com/TX/text/HB28/id/3174821,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00028I.htm
2005858,3172743,text,25718,text/html,Introduced,https://legiscan.com/TX/text/HB29/id/3172743,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00029I.htm
2007088,3174779,text,17988,text/html,Introduced,https://legiscan.com/TX/text/HB30/id/3174779,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00030I.htm
2007901,3175546,text,103102,text/html,Introduced,https://legiscan.com/TX/text/HB31/id/3175546,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00031I.htm
1987689,3146649,text,212793,text/html,Introduced,https://legiscan.com/TX/text/HB32/id/3146649,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00032I.htm
1990287,3150751,text,198510,text/html,Introduced,https://legiscan.com/TX/text/HB33/id/3150751,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00033I.htm
2005656,3172566,text,33321,text/html,Introduced,https://legiscan.com/TX/text/HB34/id/3172566,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00034I.htm
2005709,3172611,text,34403,text/html,Introduced,https://legiscan.com/TX/text/HB35/id/3172611,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00035I.htm
1990166,3150635,text,130724,text/html,Introduced,https://legiscan.com/TX/text/HB36/id/3150635,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00036I.htm
1990157,3150626,text,21130,text/html,Introduced,https://legiscan.com/TX/text/HB37/id/3150626,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00037I.htm
1993958,3156897,text,39967,text/html,Introduced,https://legiscan.com/TX/text/HB38/id/3156897,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00038I.htm
1990138,3150609,text,9793,text/html,Introduced,https://legiscan.com/TX/text/HB39/id/3150609,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00039I.htm
2005643,3172555,text,37517,text/html,Introduced,https://legiscan.com/TX/text/HB41/id/3172555,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00041I.htm
