bill_id,date,chamber,sequence,action
1890233,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890233,2024-11-12,Senate,2,Filed
1890233,2025-02-03,Senate,3,"Read first time"
1890233,2025-02-03,Senate,4,"Referred to Business & Commerce"
1890233,2025-03-05,Senate,5,"Co-author authorized"
1890233,2025-03-06,Senate,6,"Co-author authorized"
1890233,2025-03-11,Senate,7,"Co-author authorized"
1890233,2025-03-12,Senate,8,"Co-author authorized"
1890234,2024-11-12,House,1,Filed
1890234,2025-03-04,House,2,"Read first time"
1890234,2025-03-04,House,3,"Referred to State Affairs"
1890235,2024-11-12,House,1,Filed
1890235,2025-03-07,House,2,"Read first time"
1890235,2025-03-07,House,3,"Referred to Human Services"
1890235,2025-03-18,House,4,"Scheduled for public hearing on . . ."
1890236,2024-11-12,House,1,Filed
1890236,2025-03-03,House,2,"Read first time"
1890236,2025-03-03,House,3,"Referred to Public Education"
1890237,2024-11-12,House,1,Filed
1890237,2025-03-05,House,2,"Read first time"
1890237,2025-03-05,House,3,"Referred to Human Services"
1890238,2024-11-12,House,1,Filed
1890238,2025-03-04,House,2,"Read first time"
1890238,2025-03-04,House,3,"Referred to Culture, Recreation & Tourism"
1890239,2024-11-12,House,1,Filed
1890239,2025-03-05,House,2,"Read first time"
1890239,2025-03-05,House,3,"Referred to Licensing & Administrative Procedures"
1890240,2024-11-12,House,1,Filed
1890240,2025-03-07,House,2,"Read first time"
1890240,2025-03-07,House,3,"Referred to Homeland Security, Public Safety & Veterans' Affairs"
1890241,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890241,2024-11-12,Senate,2,Filed
1890241,2025-02-03,Senate,3,"Read first time"
1890241,2025-02-03,Senate,4,"Referred to Education K-16"
1890242,2024-11-12,House,1,Filed
1890242,2025-03-05,House,2,"Read first time"
1890242,2025-03-05,House,3,"Referred to Pensions, Investments & Financial Services"
1890243,2024-11-12,House,1,Filed
1890243,2025-03-10,House,2,"Read first time"
1890243,2025-03-10,House,3,"Referred to Elections"
1890244,2024-11-12,House,1,Filed
1890244,2025-03-03,House,2,"Read first time"
1890244,2025-03-03,House,3,"Referred to State Affairs"
1890245,2024-11-12,House,1,Filed
1890245,2025-02-28,House,2,"Read first time"
1890245,2025-02-28,House,3,"Referred to Public Education"
1890246,2024-11-12,House,1,Filed
1890246,2025-02-28,House,2,"Read first time"
1890246,2025-02-28,House,3,"Referred to Criminal Jurisprudence"
1890247,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890247,2024-11-12,Senate,2,Filed
1890247,2025-02-03,Senate,3,"Read first time"
1890247,2025-02-03,Senate,4,"Referred to Local Government"
1890247,2025-03-10,Senate,5,"Scheduled for public hearing on . . ."
1890247,2025-03-10,Senate,6,"Considered in public hearing"
1890247,2025-03-10,Senate,7,"Left pending in committee"
1890247,2025-03-13,Senate,8,"Considered in public hearing"
1890247,2025-03-13,Senate,9,"Vote taken in committee"
1890248,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890248,2024-11-12,Senate,2,Filed
1890248,2025-02-03,Senate,3,"Read first time"
1890248,2025-02-03,Senate,4,"Referred to Transportation"
1890249,2024-11-12,House,1,Filed
1890249,2025-02-27,House,2,"Read first time"
1890249,2025-02-27,House,3,"Referred to Intergovernmental Affairs"
1890250,2024-11-12,House,1,Filed
1890250,2025-02-28,House,2,"Read first time"
1890250,2025-02-28,House,3,"Referred to Environmental Regulation"
1890251,2024-11-12,House,1,Filed
1890251,2025-02-27,House,2,"Read first time"
1890251,2025-02-27,House,3,"Referred to Land & Resource Management"
1890252,2024-11-12,House,1,Filed
1890252,2025-03-04,House,2,"Read first time"
1890252,2025-03-04,House,3,"Referred to Public Education"
1890253,2024-11-12,House,1,Filed
1890253,2025-03-05,House,2,"Read first time"
1890253,2025-03-05,House,3,"Referred to Public Education"
1890254,2024-11-12,House,1,Filed
1890254,2025-02-27,House,2,"Read first time"
1890254,2025-02-27,House,3,"Referred to Trade, Workforce & Economic Development"
1890255,2024-11-12,House,1,Filed
1890255,2025-02-27,House,2,"Read first time"
1890255,2025-02-27,House,3,"Referred to Elections"
1890255,2025-03-20,House,4,"Scheduled for public hearing on . . ."
1890256,2024-11-12,House,1,Filed
1890256,2025-03-05,House,2,"Read first time"
1890256,2025-03-05,House,3,"Referred to s/c on Workforce by Speaker"
1890257,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890257,2024-11-12,Senate,2,Filed
1890257,2025-02-03,Senate,3,"Read first time"
1890257,2025-02-03,Senate,4,"Referred to State Affairs"
1890258,2024-11-12,House,1,Filed
1890258,2025-03-06,House,2,"Read first time"
1890258,2025-03-06,House,3,"Referred to Delivery of Government Efficiency"
1890259,2024-11-12,House,1,Filed
1890259,2025-02-27,House,2,"Read first time"
1890259,2025-02-27,House,3,"Referred to Public Education"
1890259,2025-03-18,House,4,"Scheduled for public hearing on . . ."
1890260,2024-11-12,House,1,Filed
1890260,2025-02-28,House,2,"Read first time"
1890260,2025-02-28,House,3,"Referred to Pensions, Investments & Financial Services"
1890261,2024-11-12,House,1,Filed
1890261,2025-03-07,House,2,"Read first time"
1890261,2025-03-07,House,3,"Referred to Homeland Security, Public Safety & Veterans' Affairs"
1890262,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890262,2024-11-12,Senate,2,Filed
1890262,2025-02-03,Senate,3,"Read first time"
1890262,2025-02-03,Senate,4,"Referred to State Affairs"
1890263,2024-11-12,House,1,Filed
1890263,2025-03-04,House,2,"Read first time"
1890263,2025-03-04,House,3,"Referred to Public Education"
1890264,2024-11-12,House,1,Filed
1890264,2025-03-06,House,2,"Read first time"
1890264,2025-03-06,House,3,"Referred to Land & Resource Management"
1890265,2024-11-12,House,1,Filed
1890265,2025-03-03,House,2,"Read first time"
1890265,2025-03-03,House,3,"Referred to Criminal Jurisprudence"
1890266,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890266,2024-11-12,Senate,2,Filed
1890266,2025-02-03,Senate,3,"Read first time"
1890266,2025-02-03,Senate,4,"Referred to Education K-16"
1890267,2024-11-12,House,1,Filed
1890267,2025-03-10,House,2,"Read first time"
1890267,2025-03-10,House,3,"Referred to Trade, Workforce & Economic Development"
