people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
5848,"Alma Allen",Alma,A.,Allen,,,1,D,1,Rep,HD-131,6396545,25503,,Alma_Allen,228544,0
5850,"Carol Alvarado",Carol,,Alvarado,,,1,D,2,Sen,SD-006,6487142,49524,,Carol_Alvarado,269830,0
5851,"Rafael Anchia",Rafael,,Anchia,,,1,D,1,Rep,HD-103,6453425,49874,,Rafael_Anchia,228542,0
5862,"Angie Button",Angie,Chen,Button,,,2,R,1,Rep,HD-112,6674523,102062,,Angie_Chen_Button,290574,0
5874,"Tom Craddick",Tom,,Craddick,,,2,R,1,Rep,HD-082,6582620,5485,,Tom_Craddick,199205,0
5875,"Charles Creighton",Charles,Brandon,Creighton,,Brandon,2,R,2,Sen,SD-004,6599058,50127,,Brandon_Creighton,248600,0
5877,"Drew Darby",Drew,,Darby,,,2,R,1,Rep,HD-072,13006958,49842,,Drew_Darby,248636,0
5879,"Yvonne Davis",Yvonne,,Davis,,,1,D,1,Rep,HD-111,4631344,5491,,Yvonne_Davis,199236,0
5884,"Harold Dutton",Harold,V.,Dutton,Jr.,,1,D,1,Rep,HD-142,13007067,5498,,Harold_Dutton_Jr.,199265,0
5899,"Charlie Geren",Charlie,,Geren,,,2,R,1,Rep,HD-099,6582828,49376,,Charlie_Geren,206063,0
5903,"Ryan Guillen",Ryan,,Guillen,,,2,R,1,Rep,HD-031,6396741,49248,,Ryan_Guillen,213951,0
5904,"Roland Gutierrez",Roland,,Gutierrez,,,1,D,2,Sen,SD-019,6497204,106951,,Roland_Gutierrez,265125,0
5906,"Kelly Hancock",Kelly,,Hancock,,,2,R,2,Sen,SD-009,6667546,59194,,Kelly_Hancock,248640,0
5912,"Ana Hernandez",Ana,,Hernandez,,,1,D,1,Rep,HD-143,10244652,59301,,Ana_Hernandez_(Texas),217992,0
5920,"Donna Howard",Donna,,Howard,,,1,D,1,Rep,HD-048,6386851,59196,,Donna_Howard,242983,0
5921,"Bryan Hughes",Bryan,,Hughes,,,2,R,2,Sen,SD-001,2737425,50173,,Bryan_Hughes,212610,0
5922,"Todd Hunter",Todd,,Hunter,,,2,R,1,Rep,HD-032,6679717,5532,,Todd_Hunter,269712,0
5929,"Phil King",Phil,,King,,,2,R,1,Rep,SD-010,6583091,25435,,Phil_King,199185,0
5933,"Lois Kolkhorst",Lois,,Kolkhorst,,,2,R,2,Sen,SD-018,6583103,49608,,Lois_Kolkhorst,206060,0
5944,"Trey Martinez Fischer",Trey,,"Martinez Fischer",III,,1,D,1,Rep,HD-116,6386920,49471,,Trey_Martinez_Fischer,290576,0
5945,"Armando Martinez",Armando,,Martinez,,Mando,1,D,1,Rep,HD-039,10244833,49304,,Armando_Martinez,228533,0
5949,"Jose Menendez",Jose,,Menendez,,,1,D,2,Sen,SD-026,13007038,49908,,Jose_Menendez,206067,0
5954,"Joseph Moody",Joseph,E.,Moody,,Joe,1,D,1,Rep,HD-078,6487189,102266,,Joseph_Moody,269759,0
5962,"Tan Parker",Nathaniel,,Parker,,Tan,2,R,2,Sen,SD-012,13006946,59370,,Tan_Parker,251747,0
